YEAR,MONTH,DAY,MINUTE,DateTime,USGS_STAGE,CFS
2014,12,6,720,12/6/2014 12:00,,8.73
2014,12,6,735,12/6/2014 12:15,,8.73
2014,12,6,750,12/6/2014 12:30,,8.92
2014,12,6,765,12/6/2014 12:45,,9.11
2014,12,6,780,12/6/2014 13:00,,9.11
2014,12,6,795,12/6/2014 13:15,,9.3
2014,12,6,810,12/6/2014 13:30,,9.3
2014,12,6,825,12/6/2014 13:45,,9.3
2014,12,6,840,12/6/2014 14:00,,9.49
2014,12,6,855,12/6/2014 14:15,,9.49
2014,12,6,870,12/6/2014 14:30,,9.49
2014,12,6,885,12/6/2014 14:45,,9.49
2014,12,6,900,12/6/2014 15:00,,9.49
2014,12,6,915,12/6/2014 15:15,,9.69
2014,12,6,930,12/6/2014 15:30,,9.49
2014,12,6,945,12/6/2014 15:45,,9.69
2014,12,6,960,12/6/2014 16:00,,9.49
2014,12,6,975,12/6/2014 16:15,,9.49
2014,12,6,990,12/6/2014 16:30,,9.49
2014,12,6,1005,12/6/2014 16:45,,9.3
2014,12,6,1020,12/6/2014 17:00,,9.11
2014,12,6,1035,12/6/2014 17:15,,9.11
2014,12,6,1050,12/6/2014 17:30,,8.92
2014,12,6,1065,12/6/2014 17:45,,8.92
2014,12,6,1080,12/6/2014 18:00,,8.73
2014,12,6,1085,12/6/2014 18:05,,8.73
2014,12,6,1095,12/6/2014 18:15,,8.55
2014,12,6,1110,12/6/2014 18:30,,8.55
2014,12,6,1125,12/6/2014 18:45,,8.37
2014,12,6,1140,12/6/2014 19:00,,8.02
2014,12,6,1155,12/6/2014 19:15,,8.02
2014,12,6,1170,12/6/2014 19:30,,8.02
2014,12,6,1185,12/6/2014 19:45,,7.69
2014,12,6,1200,12/6/2014 20:00,,7.69
2014,12,6,1215,12/6/2014 20:15,,7.69
2014,12,6,1230,12/6/2014 20:30,,7.53
2014,12,6,1245,12/6/2014 20:45,,7.37
2014,12,6,1260,12/6/2014 21:00,,7.37
2014,12,6,1275,12/6/2014 21:15,,7.37
2014,12,6,1290,12/6/2014 21:30,,7.37
2014,12,6,1305,12/6/2014 21:45,,7.21
2014,12,6,1320,12/6/2014 22:00,,7.06
2014,12,6,1335,12/6/2014 22:15,,7.06
2014,12,6,1350,12/6/2014 22:30,,6.91
2014,12,6,1365,12/6/2014 22:45,,6.91
2014,12,6,1380,12/6/2014 23:00,,6.91
2014,12,6,1395,12/6/2014 23:15,,6.91
2014,12,6,1410,12/6/2014 23:30,,6.91
2014,12,6,1425,12/6/2014 23:45,,6.91
2014,12,7,0,12/7/2014 0:00,,6.76
2014,12,7,15,12/7/2014 0:15,,6.62
2014,12,7,30,12/7/2014 0:30,,6.76
2014,12,7,45,12/7/2014 0:45,,6.62
2014,12,7,60,12/7/2014 1:00,,6.47
2014,12,7,75,12/7/2014 1:15,,6.62
2014,12,7,90,12/7/2014 1:30,,6.62
2014,12,7,105,12/7/2014 1:45,,6.76
2014,12,7,120,12/7/2014 2:00,,6.76
2014,12,7,135,12/7/2014 2:15,,6.76
2014,12,7,150,12/7/2014 2:30,,7.06
2014,12,7,165,12/7/2014 2:45,,7.06
2014,12,7,180,12/7/2014 3:00,,7.06
2014,12,7,195,12/7/2014 3:15,,7.06
2014,12,7,210,12/7/2014 3:30,,6.91
2014,12,7,225,12/7/2014 3:45,,6.91
2014,12,7,240,12/7/2014 4:00,,6.91
2014,12,7,255,12/7/2014 4:15,,6.76
2014,12,7,270,12/7/2014 4:30,,6.76
2014,12,7,285,12/7/2014 4:45,,6.76
2014,12,7,300,12/7/2014 5:00,,6.76
2014,12,7,315,12/7/2014 5:15,,6.62
2014,12,7,330,12/7/2014 5:30,,6.62
2014,12,7,345,12/7/2014 5:45,,6.62
2014,12,7,360,12/7/2014 6:00,,6.62
2014,12,7,375,12/7/2014 6:15,,6.47
